"GROUP","NREP_TOTAL","NREP_STD_METHOD","NREP_SEC_METHOD","POSREP_TOTAL","POSREP_STD_METHOD","POSREP_SEC_METHOD"
"ABSO","2466","2106","360","11","10","1"
"ABSX","2521","2155","366","69","59","10"
"ACAC","3420","2913","507","958","809","149"
"ACAL","2654","2289","365","188","183","5"
"ACBL","2803","2404","399","337","298","39"
"ACGU","2662","2300","362","196","194","2"
"ACLI","3446","2998","448","1012","924","88"
"ACLU","2539","2162","377","79","62","17"
"ACMA","2699","2311","388","233","205","28"
"ACMT","2511","2149","362","45","43","2"
"ACNC","5253","4494","759","2814","2394","420"
"ACNF","4900","4220","680","2441","2116","325"
"ACNI","2647","2255","392","181","149","32"
"ACNR","2932","2475","457","609","509","100"
"ACOL","3126","2690","436","660","584","76"
"ACPY","3123","2688","435","657","582","75"
"ACSP","2648","2239","409","205","133","72"
"ACTH","3328","2885","443","862","779","83"
"ACTR","2623","2257","366","202","195","7"
"ACXA","2552","2186","366","86","80","6"
"ALSC","2495","2134","361","30","28","2"
"AMCH","2609","2249","360","182","172","10"
"AMSC","2701","2332","369","235","226","9"
"ANCA","2683","2319","364","221","217","4"
"ANME","2569","2209","360","113","110","3"
"ANMG","2545","2177","368","82","74","8"
"ANSP","2472","2112","360","8","6","2"
"ANTH","2466","2106","360","14","10","4"
"ANTW","3014","2626","388","659","629","30"
"APFU","4165","3614","551","1699","1508","191"
"APSP","2483","2123","360","24","17","7"
"APTR","2677","2309","368","211","203","8"
"APVI","2646","2280","366","180","174","6"
"ARME","2546","2175","371","80","69","11"
"ARNI","2525","2160","365","59","54","5"
"ASTA","2466","2106","360","14","12","2"
"AUCH","2539","2179","360","75","73","2"
"BACO","2529","2169","360","67","63","4"
"BAUN","5058","4451","607","2618","2371","247"
"BAVI","2625","2245","380","159","139","20"
"BLCH","2466","2106","360","8","6","2"
"BLEN","3226","2794","432","771","698","73"
"BOAX","2921","2503","418","490","431","59"
"BOLO","2631","2252","379","165","146","19"
"CAAB","2555","2193","362","89","87","2"
"CAAM","2565","2205","360","108","101","7"
"CACA","2898","2511","387","432","405","27"
"CACE","2617","2251","366","153","145","8"
"CADU","2829","2444","385","363","338","25"
"CAFE","2481","2121","360","16","15","1"
"CAJN","2466","2106","360","38","37","1"
"CALU","2572","2200","372","106","94","12"
"CAMC","2466","2106","360","138","118","20"
"CAME","3167","2750","417","701","644","57"
"CAOR","2544","2184","360","79","78","1"
"CAPA","2797","2437","360","336","331","5"
"CARD","2484","2124","360","20","18","2"
"CASE","2506","2141","365","41","35","6"
"CASO","2556","2196","360","107","95","12"
"CATE","2983","2600","383","517","494","23"
"CAVA","2466","2106","360","21","17","4"
"CEAR","4733","4034","699","2267","1928","339"
"CEBC","2596","2227","369","147","136","11"
"CEBI","3329","2876","453","867","774","93"
"CEFL","4571","3946","625","2145","1872","273"
"CEHE","2466","2106","360","153","148","5"
"CELE","2710","2300","410","244","194","50"
"CELO","2591","2106","485","652","526","126"
"CEOC","2658","2284","374","192","178","14"
"CESP","2570","2200","370","116","105","11"
"CEUR","5025","4268","757","2589","2162","427"
"CHAC","2466","2106","360","1370","1144","226"
"CHAG","2466","2106","360","493","415","78"
"CHAL","2545","2185","360","81","79","2"
"CHAM","2466","2106","360","108","95","13"
"CHAU","2654","2277","377","195","176","19"
"CHBE","2545","2185","360","84","79","5"
"CHBI","2466","2106","360","64","57","7"
"CHBR","2466","2106","360","518","469","49"
"CHCH","2476","2111","365","10","5","5"
"CHCI","2917","2537","380","483","461","22"
"CHCL","2516","2156","360","52","50","2"
"CHCY","2466","2106","360","25","4","21"
"CHEP","3049","2653","396","586","547","39"
"CHFA","2506","2141","365","46","39","7"
"CHFN","2865","2472","393","400","366","34"
"CHGL","2466","2106","360","12","8","4"
"CHIO","2466","2106","360","1335","1140","195"
"CHJA","3503","3047","456","1037","941","96"
"CHLT","2909","2520","389","497","463","34"
"CHLU","3149","2757","392","705","669","36"
"CHMA","2466","2106","360","1729","1471","258"
"CHMC","3132","2736","396","666","630","36"
"CHMD","2492","2128","364","26","22","4"
"CHML","2525","2165","360","64","63","1"
"CHMR","2545","2183","362","83","80","3"
"CHOR","3278","2852","426","910","837","73"
"CHOX","2847","2487","360","429","427","2"
"CHPW","3790","3267","523","1393","1220","173"
"CHQU","2854","2475","379","450","428","22"
"CHRA","2520","2160","360","59","56","3"
"CHRE","4209","3642","567","2473","2184","289"
"CHSE","2597","2237","360","135","131","4"
"CHSL","4435","3847","588","1972","1743","229"
"CHSP","2471","2111","360","6","5","1"
"CHTA","2466","2106","360","769","660","109"
"CHTE","2466","2106","360","36","32","4"
"CHTL","2706","2343","363","240","237","3"
"CHTR","2821","2437","384","451","419","32"
"CHUB","2639","2260","379","173","154","19"
"CHUD","2724","2358","366","258","252","6"
"CHUL","2674","2311","363","219","214","5"
"CHUN","2924","2514","410","524","464","60"
"CHVA","2863","2461","402","397","355","42"
"CHVG","2855","2475","380","412","389","23"
"CHWE","2491","2131","360","29","27","2"
"CHXA","3668","3182","486","1454","1328","126"
"CIFL","2466","2106","360","147","130","17"
"CILB","2572","2212","360","126","116","10"
"CIPI","2575","2211","364","109","105","4"
"CIPO","2567","2194","373","102","88","14"
"CIPU","2466","2106","360","11","6","5"
"CISP","2466","2106","360","241","191","50"
"CISR","2466","2106","360","3","2","1"
"CIST","2466","2106","360","37","15","22"
"CITE","2466","2106","360","5","2","3"
"CIVR","2602","2106","496","697","555","142"
"COAY","2924","2531","393","458","425","33"
"COGA","3035","2613","422","569","507","62"
"CTBI","2708","2321","387","281","250","31"
"CTCY","3959","3313","646","2200","1914","286"
"CTFL","2975","2508","467","583","476","107"
"CTHA","2692","2305","387","227","199","28"
"CTSP","2486","2120","366","21","14","7"
"CTSR","5382","4492","890","2977","2407","570"
"DAAR","2466","2106","360","63","51","12"
"DAAU","2545","2185","360","89","83","6"
"DAMS","2466","2106","360","137","60","77"
"DARE","2466","2106","360","454","424","30"
"DART","2466","2106","360","3","2","1"
"DATR","2549","2189","360","98","87","11"
"DEMA","2537","2177","360","72","71","1"
"DIHY","2488","2122","366","24","18","6"
"ECBC","2466","2106","360","263","240","23"
"ECNA","2481","2121","360","16","15","1"
"ECOP","2466","2106","360","15","10","5"
"ELBI","2645","2276","369","179","170","9"
"EMPE","2472","2112","360","7","6","1"
"EPFA","2547","2178","369","81","72","9"
"EPHE","2561","2194","367","97","88","9"
"EPHO","2471","2106","365","10","5","5"
"EPIN","3102","2688","414","636","582","54"
"EPMA","2472","2112","360","7","6","1"
"EPME","2536","2158","378","70","52","18"
"EPML","2531","2153","378","65","47","18"
"EPSL","2499","2139","360","35","33","2"
"EPSP","2541","2171","370","75","65","10"
"EPTA","2483","2120","363","17","14","3"
"EXBR","2519","2156","363","56","52","4"
"FICO","2492","2132","360","27","26","1"
"FISH","2484","2106","378","35","14","21"
"FOFL","3069","2662","407","643","588","55"
"FOLO","2878","2482","396","413","376","37"
"GNAU","2853","2453","400","387","347","40"
"GOAT","2488","2118","370","22","12","10"
"GOBI","2496","2106","390","93","62","31"
"GOVA","4852","4158","694","2421","2075","346"
"GRAL","2807","2401","406","341","295","46"
"GROU","2470","2110","360","6","4","2"
"GRSE","2478","2118","360","14","12","2"
"GYFL","2472","2112","360","7","6","1"
"GYJA","2488","2124","364","22","18","4"
"GYME","2496","2134","362","31","28","3"
"GYUC","2549","2184","365","83","78","5"
"GYUN","2472","2109","363","6","3","3"
"HABI","2704","2331","373","263","249","14"
"HAHO","4564","3940","624","2099","1834","265"
"HAMA","2771","2390","381","354","330","24"
"HAME","2530","2163","367","75","67","8"
"HAML","2480","2120","360","20","16","4"
"HAMT","2828","2418","410","396","342","54"
"HAOR","3262","2788","474","897","766","131"
"HAPR","2515","2149","366","61","53","8"
"HATR","2529","2157","372","83","69","14"
"HEAC","2466","2106","360","6","5","1"
"HECA","2466","2106","360","4","3","1"
"HECH","2722","2346","376","257","240","17"
"HEFA","3364","2948","416","899","843","56"
"HEME","2643","2278","365","177","172","5"
"HEMO","2623","2263","360","173","168","5"
"HEPO","2557","2189","368","109","98","11"
"HETH","2685","2307","378","268","248","20"
"HEVA","2682","2306","376","223","206","17"
"HODO","2591","2224","367","125","118","7"
"ISSP","2466","2106","360","5","4","1"
"KYCI","2516","2153","363","50","47","3"
"LABI","3178","2734","444","759","672","87"
"LADI","3690","3330","360","1529","1244","285"
"LARU","3549","3189","360","1214","1084","130"
"LAUN","2662","2302","360","241","231","10"
"LAXA","3383","2924","459","969","868","101"
"LEOL","2508","2146","362","42","40","2"
"LERU","2494","2134","360","31","28","3"
"LETA","2466","2106","360","62","47","15"
"LETH","2549","2185","364","83","79","4"
"LIZA","2612","2244","368","146","138","8"
"LUBO","3752","3257","495","1286","1151","135"
"LUFU","2745","2356","389","279","250","29"
"LUGI","2674","2287","387","208","181","27"
"LUKA","2950","2486","464","484","380","104"
"LUMO","2821","2430","391","355","324","31"
"LUWH","2466","2106","360","10","6","4"
"MABR","2566","2202","364","102","98","4"
"MALA","2606","2237","369","140","131","9"
"MAMA","2859","2472","387","393","366","27"
"MAME","3270","2845","425","916","848","68"
"MANI","3134","2744","390","668","638","30"
"MEAT","2502","2106","396","150","113","37"
"MENI","3284","2839","445","818","733","85"
"MEVI","4944","4242","702","2480","2138","342"
"MOGR","3589","3118","471","1123","1012","111"
"MORA","2468","2106","362","3","1","2"
"MUFL","2514","2151","363","48","45","3"
"MUVA","2745","2367","378","279","261","18"
"MYAD","2490","2130","360","29","26","3"
"MYAM","2503","2143","360","38","37","1"
"MYBE","2902","2465","437","436","359","77"
"MYKU","2684","2302","382","218","196","22"
"MYMU","2486","2126","360","22","20","2"
"MYSP","2524","2158","366","60","54","6"
"NAAN","2482","2120","362","16","14","2"
"NABH","2495","2135","360","30","29","1"
"NABR","2750","2362","388","284","256","28"
"NAHE","2848","2443","405","382","337","45"
"NALI","4245","3705","540","1779","1599","180"
"NASP","2491","2117","374","25","11","14"
"NATH","2466","2106","360","7","6","1"
"NATO","2562","2199","363","97","93","4"
"NAUN","2592","2223","369","126","117","9"
"NAVL","2887","2499","388","421","393","28"
"NEAR","2476","2106","370","77","67","10"
"NEMA","2466","2106","360","365","308","57"
"NEOP","2508","2145","363","42","39","3"
"NESA","2645","2254","391","180","148","32"
"NESP","2520","2160","360","57","54","3"
"NOTA","2550","2180","370","84","74","10"
"ODNI","2640","2270","370","177","166","11"
"OSAN","2466","2106","360","24","21","3"
"OSCU","2484","2119","365","18","13","5"
"OSME","2726","2351","375","271","256","15"
"OXDI","3040","2633","407","574","527","47"
"OXLO","2466","2106","360","109","98","11"
"OXUN","4188","3694","494","1722","1588","134"
"PAAR","4290","3667","623","1976","1687","289"
"PABA","2517","2149","368","51","43","8"
"PACL","2712","2330","382","280","258","22"
"PACR","2669","2301","368","203","195","8"
"PACY","3704","3259","445","1238","1153","85"
"PAFO","3551","3030","521","1086","924","162"
"PAHE","3074","2603","471","608","497","111"
"PAIN","3165","2760","405","699","654","45"
"PAMI","2636","2272","364","185","181","4"
"PAMU","4281","3742","539","1815","1636","179"
"PAPL","2568","2205","363","102","99","3"
"PARR","2821","2376","445","355","270","85"
"PEJA","2486","2126","360","22","20","2"
"PEME","2466","2106","360","7","4","3"
"PEOU","2899","2489","410","434","384","50"
"PLDI","3972","3433","539","1525","1345","180"
"PLGI","2474","2114","360","9","8","1"
"PLIM","2466","2106","360","37","34","3"
"PLJO","3479","3119","360","1198","1015","183"
"PLLA","3482","2975","507","1020","873","147"
"PLLD","2466","2106","360","43","40","3"
"PLLV","2581","2217","364","115","111","4"
"PLPH","2466","2106","360","112","109","3"
"PLPI","2488","2126","362","22","20","2"
"PLRH","2466","2106","360","7","1","6"
"PLTA","2556","2106","450","349","249","100"
"PLVI","2611","2234","377","145","128","17"
"POBR","2865","2505","360","460","400","60"
"POCO","2466","2106","360","447","398","49"
"POIM","2793","2409","384","327","303","24"
"POPA","2466","2106","360","6","3","3"
"POPH","2576","2216","360","186","114","72"
"POPU","2480","2120","360","15","14","1"
"PORI","2466","2106","360","506","467","39"
"POVA","2466","2106","360","1559","1348","211"
"PSCO","2466","2106","360","10","7","3"
"PSEV","2793","2433","360","388","329","59"
"PSFL","2587","2217","370","121","111","10"
"PSHE","2684","2106","578","1222","1001","221"
"PSMO","2768","2392","376","302","286","16"
"PSOC","3272","2766","506","814","668","146"
"PSOL","2466","2106","360","25","23","2"
"PSPA","3076","2632","444","640","554","86"
"PSTE","2466","2106","360","520","419","101"
"PTEV","2982","2550","432","570","498","72"
"PTHE","2592","2227","365","138","133","5"
"PTMA","2558","2198","360","97","96","1"
"PTTI","2803","2434","369","337","328","9"
"PTTR","2468","2106","362","34","32","2"
"PTZE","2524","2162","362","65","62","3"
"PYDI","3671","3192","479","1205","1086","119"
"RHLU","2474","2114","360","11","8","3"
"RHRE","2685","2322","363","221","218","3"
"SACA","2589","2229","360","130","123","7"
"SADI","2505","2145","360","41","39","2"
"SAMI","2466","2106","360","10","8","2"
"SASP","2733","2325","408","267","219","48"
"SATI","2962","2518","444","496","412","84"
"SCAL","2555","2189","366","89","83","6"
"SCFO","3711","3190","521","1245","1084","161"
"SCFR","2843","2453","390","377","347","30"
"SCGL","2720","2346","374","254","240","14"
"SCLY","2510","2150","360","45","44","1"
"SCNI","2644","2282","362","178","176","2"
"SCOV","3108","2664","444","642","558","84"
"SCPP","2470","2106","364","8","4","4"
"SCPS","2865","2466","399","399","360","39"
"SCRU","3270","2853","417","804","747","57"
"SCSC","2771","2381","390","305","275","30"
"SCSI","2743","2376","367","277","270","7"
"SCSP","2586","2169","417","120","63","57"
"SCTR","2496","2134","362","30","28","2"
"SCXA","2523","2158","365","57","52","5"
"SIAR","2510","2146","364","44","40","4"
"SNDP","2523","2145","378","64","45","19"
"SOLD","2485","2106","379","21","2","19"
"SPBA","2534","2174","360","69","68","1"
"SPQE","2553","2184","369","87","78","9"
"STAL","2466","2106","360","29","27","2"
"STBN","2715","2345","370","266","256","10"
"STFA","3205","2741","464","758","652","106"
"STNI","2529","2169","360","72","71","1"
"STSP","2476","2106","370","29","18","11"
"STST","2523","2163","360","62","61","1"
"SUBU","3269","2799","470","931","820","111"
"SUCH","2683","2305","378","275","255","20"
"SURG","2660","2219","441","194","113","81"
"SYBI","2466","2106","360","3","1","2"
"SYVA","2466","2106","360","11","10","1"
"THAL","2472","2110","362","6","4","2"
"THAM","2941","2552","389","496","464","32"
"THHA","2705","2318","387","297","264","33"
"THLU","3277","2759","518","814","655","159"
"THPU","2581","2217","364","115","111","4"
"THQU","4040","3467","573","2572","2227","345"
"THSP","2474","2114","360","9","8","1"
"THTR","2553","2193","360","91","89","2"
"TRBA","2466","2106","360","5","4","1"
"TROB","2567","2199","368","101","93","8"
"VALO","2784","2391","393","318","285","33"
"VAST","2700","2308","392","270","235","35"
"WRAS","2668","2208","460","210","110","100"
"XAAU","2486","2126","360","31","21","10"
"ZACO","3251","2856","395","821","785","36"
"ZERO","2580","2202","378","126","107","19"
"ZESC","3318","2857","461","1123","996","127"
"ZEVE","3065","2672","393","599","566","33"
